alegria,alegria,n,fs,HUM,1,MAN
astúcia,astúcia,n,fs,HUM,1,MAN
atemporalidade,atemporalidade,n,fs,HUM,1,MAN
austeridade,austeridade,n,fs,HUM,1,MAN
beleza,beleza,n,fs,HUM,1,MAN
bem-estar,bem-estar,n,fs,HUM,1,MAN
best-seller,best-seller,n,fs,HUM,1,MAN
brilho,brilho,n,fs,HUM,1,MAN
carisma,carisma,n,fs,HUM,1,MAN
clímax,clímax,n,fs,HUM,1,MAN
companheirismo,companheirismo,n,fs,HUM,1,MAN
compreensão,compreensão,n,fs,HUM,1,MAN
deleite,deleite,n,fs,HUM,1,MAN
densidade,densidade,n,fs,HUM,1,MAN
diferencial,diferencial,n,fs,HUM,1,MAN
diversão,diversão,n,fs,HUM,1,MAN
doçura,doçura,n,fs,HUM,1,MAN
emoção,emoção,n,fs,HUM,1,MAN
emoções,emoção,n,fp,HUM,1,MAN
empatia,empatia,n,fs,HUM,1,MAN
entusiasmo,entusiasmo,n,fs,HUM,1,MAN
envolvente,envolvente,n,fs,HUM,1,MAN
êxtase,êxtase,n,fs,HUM,1,MAN
facilidade,facilidade,n,fs,HUM,1,MAN
facinação,facinação,n,fs,HUM,1,MAN
favorita,favorito,n,fs,HUM,1,MAN
favorito,favorito,n,ms,HUM,1,MAN
fluência,fluência,n,fs,HUM,1,MAN
fluidez,fluidez,n,fs,HUM,1,MAN
genialidade,genialidade,n,fs,HUM,1,MAN
gostinho,gostinho,n,fs,HUM,1,MAN
grandeza,grandeza,n,fs,HUM,1,MAN
inteligência,inteligência,n,fs,HUM,1,MAN
ironia,ironia,n,fs,HUM,1,MAN
jóia,jóia,n,fs,HUM,1,MAN
magnetismo,magnetismo,n,fs,HUM,1,MAN
mérito,mérito,n,fs,HUM,1,MAN
obra-prima,obra-prima,n,fs,HUM,1,MAN
orginalidade,orginalidade,n,fs,HUM,1,MAN
otimismo,otimismo,n,ms,HUM,1,MAN
otimista,otimista,n,fs,HUM,1,MAN
paixão,paixão,n,fs,HUM,1,MAN
perfeição,perfeição,n,fs,HUM,1,MAN
prazer,prazer,n,fs,HUM,1,MAN
predileta,predileto,n,fs,HUM,1,MAN
predileto,predileto,n,ms,HUM,1,MAN
preferida,preferido,n,fs,HUM,1,MAN
preferido,preferido,n,ms,HUM,1,MAN
primor,primor,n,fs,HUM,1,MAN
recorde,recorde,n,fs,HUM,1,MAN
sensibilidade,sensiblidade,n,fs,HUM,1,MAN
sufocamento,sufocamento,n,fs,HUM,1,MAN
talento,talento,n,fs,HUM,1,MAN
taquicardia,taquicardia,n,fs,HUM,1,MAN
ternura,ternura,n,fs,HUM,1,MAN
top,top,n,fs,HUM,1,MAN
virtude,virtude,n,fs,HUM,1,MAN
vitória,vitória,n,fs,HUM,1,MAN
aborto,aborto,n,fs,HUM,-1,MAN
acidente,acidente,n,fs,HUM,-1,MAN
acidentes,acidente,n,fp,HUM,-1,MAN
anticlímax,anticlímax,n,fs,HUM,-1,MAN
atraso,atraso,n,ms,HUM,-1,MAN
assassinato,assassinato,n,ms,HUM,-1,MAN
assassinatos,assassinato,n,mp,HUM,-1,MAN
besteira,besteira,n,fs,HUM,-1,MAN
bobagem,bobagem,n,fs,HUM,-1,MAN
bobagens,bobagem,n,fp,HUM,-1,MAN
boçal,boçal,n,fs,HUM,-1,MAN
bosta,bosta,n,fs,HUM,-1,MAN
chacina,chacina,n,fs,HUM,-1,MAN
chacinas,chacina,n,fp,HUM,-1,MAN
chatice,chatice,n,fs,HUM,-1,MAN
chatices,chatice,n,fp,HUM,-1,MAN
clichê,clichê,n,fs,HUM,-1,MAN
crise,crise,n,fs,HUM,-1,MAN
decepção,decepção,n,fs,HUM,-1,MAN
decepções,decepção,n,fp,HUM,-1,MAN
defeito,defeito,n,fs,HUM,-1,MAN
desastre,desastre,n,fs,HUM,-1,MAN
desconforto,desconforto,n,fs,HUM,-1,MAN
desemprego,desemprego,n,fs,HUM,-1,MAN
desesperança,desesperança,n,fs,HUM,-1,MAN
desgraça,desgraça,n,fs,HUM,-1,MAN
desprazer,desprazer,n,fs,HUM,-1,MAN
droga,droga,n,fs,HUM,-1,MAN
engano,engano,n,fs,HUM,-1,MAN
erro,erro,n,fs,HUM,-1,MAN
exagero,exagero,n,fs,HUM,-1,MAN
exaustão,exaustão,n,fs,HUM,-1,MAN
excesso,excesso,n,fs,HUM,-1,MAN
falha,falha,n,fs,HUM,-1,MAN
falho,falho,n,fs,HUM,-1,MAN
falta,falta,n,fs,HUM,-1,MAN
furo,furo,n,fs,HUM,-1,MAN
imaturidade,imaturidade,n,fs,HUM,-1,MAN
incômodo,incômodo,n,fs,HUM,-1,MAN
inexperiente,inexperiente,n,fs,HUM,-1,MAN
inflação,inflação,n,fs,HUM,-1,MAN
meleca,meleca,n,fs,HUM,-1,MAN
melodrama,melodrama,n,fs,HUM,-1,MAN
melodramática,melodramático,n,fs,HUM,-1,MAN
melodramático,melodramático,n,ms,HUM,-1,MAN
melosa,meloso,n,fs,HUM,-1,MAN
meloso,meloso,n,ms,HUM,-1,MAN
monótona,monótono,n,fs,HUM,-1,MAN
monótono,monótono,n,ms,HUM,-1,MAN
multa,multa,n,ms,HUM,-1,MAN
negado,negado,n,ms,HUM,-1,MAN
negados,negado,n,mp,HUM,-1,MAN
nojo,nojo,n,fs,HUM,-1,MAN
passividade,passividade,n,fs,HUM,-1,MAN
pena,pena,n,fs,HUM,-1,MAN
pessimismo,pessimismo,n,ms,HUM,-1,MAN
pessimista,pessimista,n,fs,HUM,-1,MAN
pichador,pichador,n,ms,HUM,-1,MAN
pichadores,pichadores,n,mp,HUM,-1,MAN
pieguice,pieguice,n,fs,HUM,-1,MAN
porca,porca,n,fs,HUM,-1,MAN
porcaria,porcaria,n,fs,HUM,-1,MAN
prisão,prisão,n,fs,HUM,-1,MAN
prisões,prisão,n,fs,HUM,-1,MAN
problema,problema,n,fs,HUM,-1,MAN
propina,propina,n,ms,HUM,-1,MAN
protesto,protesto,n,ms,HUM,-1,MAN
protestos,protesto,n,mp,HUM,-1,MAN
queda,queda,n,fs,HUM,-1,MAN
recessão,recessão,n,fs,HUM,-1,MAN
sacrifício,sacrifício,n,fs,HUM,-1,MAN
sentimentalismo,sentimentalismo,n,fs,HUM,-1,MAN
superficialidade,superficialidade,n,fs,HUM,-1,MAN
tiro,tiro,n,ms,HUM,-1,MAN
tiros,tiro,n,mp,HUM,-1,MAN
tragédia,tragédia,n,fs,HUM,-1,MAN
vergonha,vergonha,n,fs,HUM,-1,MAN
violência,violência,n,fs,HUM,-1,MAN
